"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Gem_CJuql4","Gem_JW11","Gem_JW3-8s0","Gem_JW9","Gem_obs_UQM2246"
"group_2143","moaE","Molybdopterin synthase catalytic subunit","2","2","1","1","3021","397","9","","413","428","420","","GW11_04074","","GW9_07292",""
"iolG_14","","Inositol 2-dehydrogenase","2","2","1","1","27510","385","6693","","1418","1418","1418","","","GJW3_05519","GW9_08843",""
"group_21476","","hypothetical protein","2","2","1","1","27509","385","6692","","311","311","311","","","GJW3_05520","GW9_08844",""
"group_21477","","hypothetical protein","2","2","1","1","20166","385","6688","","464","464","464","","","GJW3_05524","GW9_08852",""
"group_21478","","hypothetical protein","2","2","1","1","20213","387","10","","644","644","644","","","GJW3_05528","GW9_08856",""
"phoV_2","","Alkaline phosphatase PhoV","2","2","1","1","20402","387","9","","1811","1811","1811","","","GJW3_05532","GW9_08860",""
"group_2148","","hypothetical protein","2","2","1","1","17586","385","12852","","674","1832","1253","","GW11_04147","","","GUQM_00973"
"group_21481","","hypothetical protein","2","2","1","1","9813","385","18420","","446","446","446","","","GJW3_05548","GW9_04606",""
"group_21482","","hypothetical protein","2","2","1","1","14130","385","18412","","353","353","353","","","GJW3_05556","GW9_04614",""
"gcvH_2","","Glycine cleavage system H protein","2","2","1","1","26642","385","5545","","413","413","413","","","GJW3_05560","GW9_04619",""
"group_21484","ctaB1","Protoheme IX farnesyltransferase 1","2","2","1","1","27845","385","243","","965","965","965","","","GJW3_05577","GW9_09202",""
"group_21485","","hypothetical protein","2","2","1","1","12196","385","22183","","221","221","221","","","GJW3_05596","GW9_09184",""
"macB_5","","Macrolide export ATP-binding/permease protein MacB","2","2","1","1","13150","385","5004","","1163","1163","1163","","","GJW3_05632","GW9_09080",""
"group_21494","","hypothetical protein","2","2","1","1","12350","385","10981","","881","881","881","","","GJW3_05645","GW9_09069",""
"group_21502","","hypothetical protein","2","2","1","1","26069","429","6","","1205","1205","1205","","","GJW3_05685","GW9_09032",""
"group_21503","","hypothetical protein","2","2","1","1","15842","385","16778","","524","524","524","","","GJW3_05700","GW9_09016",""
"group_21504","","hypothetical protein","2","2","1","1","15843","385","16779","","710","710","710","","","GJW3_05701","GW9_09015",""
"group_21511","","hypothetical protein","2","2","1","1","16946","385","6517","","479","479","479","","","GJW3_05742","GW9_05786",""
"group_21513","","hypothetical protein","2","2","1","1","7374","385","19878","","1133","1133","1133","","","GJW3_05755","GW9_05503",""
"group_21514","","hypothetical protein","2","2","1","1","7357","385","14513","","824","824","824","","","GJW3_05766","GW9_05492",""
"iolX_7","","scyllo-inositol 2-dehydrogenase (NAD(+))","2","2","1","1","14716","385","17045","","1535","1604","1569","","GW11_04191","","GW9_07062",""
"group_21564","","hypothetical protein","2","2","1","1","25740","385","23829","","218","218","218","","","GJW3_05841","GW9_08704",""
"group_21565","","hypothetical protein","2","2","1","1","25744","385","23838","","446","446","446","","","GJW3_05844","GW9_08701",""
"group_21567","","hypothetical protein","2","2","1","1","13081","385","21614","","809","809","809","","","GJW3_05858","GW9_05837",""
"novO","","putative protein","2","2","1","1","20621","482","3","","1073","1073","1073","","","GJW3_05863","GW9_05833",""
"group_21575","","hypothetical protein","2","2","1","1","23030","385","986","","917","923","920","","","GJW3_05908","GW9_08539",""
"group_21593","ubiG_2","putative S-adenosylmethionine-dependent methyltransferase/MSMEI_2290","2","2","1","1","19484","385","18828","","983","983","983","","","GJW3_05966","GW9_08473",""
"group_21595","","hypothetical protein","2","2","1","1","21259","385","15747","","1766","1766","1766","","","GJW3_05996","GW9_08432",""
"group_21596","","hypothetical protein","2","2","1","1","21261","385","15746","","1865","1865","1865","","","GJW3_05998","GW9_08429",""
"group_21603","","hypothetical protein","2","2","1","1","17959","385","15208","","323","323","323","","","GJW3_06024","GW9_08403",""
"group_21607","","hypothetical protein","2","2","1","1","11558","385","19593","","395","395","395","","","GJW3_06035","GW9_08393",""
"group_21609","","hypothetical protein","2","2","1","1","6162","385","15571","","785","791","788","","","GJW3_06059","GW9_08369",""
"group_21631","","hypothetical protein","2","2","1","1","19338","385","15454","","1016","1016","1016","","","GJW3_06114","GW9_06017",""
"group_21639","","hypothetical protein","2","2","1","1","11568","385","5744","","323","323","323","","","GJW3_06149","GW9_05979",""
"group_21641","pgl_1","6-phosphogluconolactonase","2","2","1","1","28390","385","12496","","1112","1112","1112","","","GJW3_06161","GW9_05969",""
"prtV","","Immune inhibitor A precursor","2","2","1","1","10336","385","16548","","1598","1598","1598","","","GJW3_06195","GW9_06067",""
"group_21650","prkC_31","Serine/threonine-protein kinase PrkC","2","2","1","1","27232","385","16599","","1229","1229","1229","","","GJW3_06201","GW9_06072",""
"group_21654","","hypothetical protein","2","2","1","1","7171","436","2","","1565","1565","1565","","","GJW3_06217","GW9_06086",""
"group_2169","","Cytochrome c","2","2","1","1","2729","385","13179","","2144","3110","2627","","","GJW3_08272","GW9_08267",""
"group_2170","","Cytochrome c","2","2","1","1","20670","385","6421","","3041","3047","3044","","GW11_04492","","","GUQM_07483"
"group_2173","pknL_3","serine/threonine protein kinase [Gemmata obscuriglobus]","2","2","1","1","24084","385","11273","","956","1478","1217","","GW11_04504","","","GUQM_07346"
"group_2175","pknL_2","Serine/threonine-protein kinase PknL","2","2","1","1","2902","385","1555","","1274","1487","1380","","","GJW3_07068","GW9_07015",""
"group_21776","","hypothetical protein","2","2","1","1","15820","385","16693","","404","404","404","","","GJW3_06430","GW9_06125",""
"group_21778","","hypothetical protein","2","2","1","1","16860","385","18272","","515","515","515","","","GJW3_06443","GW9_06138",""
"group_21779","","hypothetical protein","2","2","1","1","26413","385","18263","","89","89","89","","","GJW3_06451","GW9_06146",""
"viaA","","hypothetical protein","2","2","1","1","28245","385","4477","","1397","1403","1400","","GW11_07667","","GW9_02252",""
"ctpA","","Carboxy-terminal processing protease CtpA","2","2","1","1","22931","385","5800","","1445","1445","1445","","","GJW3_06538","GW9_06459",""
"group_21796","","hypothetical protein","2","2","1","1","11603","385","5688","","818","818","818","","","GJW3_06548","GW9_06469",""
"group_21797","","hypothetical protein","2","2","1","1","4493","385","1976","","428","428","428","","","GJW3_06557","GW9_06411",""
"group_21799","","hypothetical protein","2","2","1","1","17668","385","16641","","1313","1313","1313","","","GJW3_06577","GW9_06502",""
"minD_2","","Septum site-determining protein MinD","2","2","1","1","16340","385","20238","","758","758","758","","","GJW3_06587","GW9_06512",""
"divK_2","","Polar-differentiation response regulator DivK","2","2","1","1","16341","385","20236","","1349","1349","1349","","","GJW3_06588","GW9_06513",""
"group_21804","pkn1_6","Serine/threonine-protein kinase pkn1","2","2","1","1","16343","385","20235","","872","872","872","","","GJW3_06589","GW9_06514",""
"group_21807","","Transmembrane exosortase (Exosortase_EpsH)","2","2","1","1","9932","385","17852","","893","893","893","","","GJW3_06613","GW9_06538",""
"group_21816","yfiT_3","Putative metal-dependent hydrolase YfiT","2","2","1","1","19219","413","5","","476","476","476","","","GJW3_06666","GW9_06590",""
"ytlP","","2'-5'-RNA ligase","2","2","1","1","1395","385","12785","","584","584","584","","","GJW3_06681","GW9_06608",""
"group_21823","","hypothetical protein","2","2","1","1","3056","385","12700","","1061","1061","1061","","","GJW3_06694","GW9_06617",""
"smc_4","","Chromosome partition protein Smc","2","2","1","1","23028","533","1","","1322","1325","1323","","","GJW3_06716","GW9_06641",""
"group_21830","","putative major pilin subunit","2","2","1","1","1381","385","17534","","956","956","956","","","GJW3_06740","GW9_06668",""
"group_21834","","hypothetical protein","2","2","1","1","1373","385","17543","","965","965","965","","","GJW3_06750","GW9_06674",""
"bamB_25","","outer membrane biogenesis protein BamB","2","2","1","1","13048","385","17559","","1202","1202","1202","","","GJW3_06765","GW9_06690",""
"group_21836","","hypothetical protein","2","2","1","1","13049","385","17560","","1199","1199","1199","","","GJW3_06766","GW9_06691",""
"group_21837","","hypothetical protein","2","2","1","1","13052","385","17563","","845","845","845","","","GJW3_06769","GW9_06694",""
"lysN","","2-aminoadipate transaminase","2","2","1","1","6609","385","17419","","1307","1307","1307","","","GJW3_06784","GW9_06712",""
"group_21842","","hypothetical protein","2","2","1","1","25522","385","11248","","467","467","467","","","GJW3_06798","GW9_06995",""
"group_21843","","CBS domain protein","2","2","1","1","25521","385","11247","","515","515","515","","","GJW3_06799","GW9_06994",""
"group_21846","","hypothetical protein","2","2","1","1","14727","385","15235","","644","644","644","","","GJW3_06814","GW9_06979",""
"group_21847","","TadE-like protein","2","2","1","1","46","385","15238","","578","578","578","","","GJW3_06817","GW9_06976",""
"group_21848","prkC_35","Serine/threonine-protein kinase PrkC","2","2","1","1","48","385","15240","","1433","1433","1433","","","GJW3_06819","GW9_06974",""
"group_21851","","hypothetical protein","2","2","1","1","9446","392","22","","107","107","107","","","GJW3_06831","GW9_06964",""
"group_21852","","hypothetical protein","2","2","1","1","14515","385","13079","","869","869","869","","","GJW3_06836","GW9_06958",""
"group_21853","cycA","Cytochrome c-552 precursor","2","2","1","1","2011","385","13104","","890","890","890","","","GJW3_06843","GW9_06952",""
"group_21854","","hypothetical protein","2","2","1","1","3602","385","6494","","410","410","410","","","GJW3_06863","GW9_06929",""
"iolG_10","","1,5-anhydro-D-fructose reductase","2","2","1","1","3666","385","6476","","1292","1292","1292","","","GJW3_06868","GW9_06926",""
"pyrF","","orotidine 5'-phosphate decarboxylase","2","2","1","1","18940","385","14918","","206","896","551","","","GJW3_07725","GW9_07636",""
"group_21866","","Phospholipase B","2","2","1","1","17414","385","14897","","1430","1430","1430","","","GJW3_06900","GW9_06781",""
"group_21879","","hypothetical protein","2","2","1","1","1863","385","11035","","278","278","278","","","GJW3_06961","GW9_06837",""
"bamB_33","","PQQ enzyme repeat protein","2","2","1","1","19361","385","460","","707","1253","980","","","GJW3_08657","GW9_08028",""
"group_21882","","hypothetical protein","2","2","1","1","2669","385","17304","","659","659","659","","","GJW3_06976","GW9_06852",""
"group_21884","","hypothetical protein","2","2","1","1","11272","385","4787","","1058","1061","1059","","","GJW3_06994","GW9_06871",""
"group_21887","","hypothetical protein","2","2","1","1","3108","385","12462","","779","779","779","","","GJW3_07004","GW9_06883",""
"group_21888","prkC_34","Serine/threonine-protein kinase PrkC","2","2","1","1","3110","385","12513","","1616","1616","1616","","","GJW3_07007","GW9_06886",""
"msrB_2","","Peptide methionine sulfoxide reductase MsrB","2","2","1","1","14415","385","10338","","464","464","464","","","GJW3_07021","GW9_06901",""
"group_21892","","HEAT repeat protein","2","2","1","1","7615","385","22926","","1427","1427","1427","","","GJW3_07026","GW9_06763",""
"hyi_2","","Hydroxypyruvate isomerase","2","2","1","1","18852","385","16143","","887","887","887","","","GJW3_07046","GW9_06743",""
"group_2190","","outer membrane biogenesis protein BamB","2","2","1","1","8276","385","5110","","1250","1253","1251","","GW11_04887","","","GUQM_01491"
"ywaD","","Aminopeptidase YwaD","2","2","1","1","26420","385","1561","","1898","1898","1898","","","GJW3_07073","GW9_07021",""
"tetA","","Tetracycline resistance protein, class B","2","2","1","1","2642","385","15143","","1340","1340","1340","","","GJW3_07086","GW9_07033",""
"wbbL_2","","N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase","2","2","1","1","11334","385","16208","","1016","1016","1016","","","GJW3_07091","GW9_07037",""
"group_21906","","hypothetical protein","2","2","1","1","11789","385","17088","","377","377","377","","","GJW3_07102","GW9_07049",""
"group_21907","","Leucine Rich repeats (2 copies)","2","2","1","1","11324","385","17038","","1646","1646","1646","","","GJW3_07106","GW9_07054",""
"group_21908","","hypothetical protein","2","2","1","1","14717","385","17034","","431","431","431","","","GJW3_07113","GW9_07358",""
"group_21912","","hypothetical protein","2","2","1","1","19410","385","17168","","428","428","428","","","GJW3_07148","GW9_07391",""
"group_21913","","hypothetical protein","2","2","1","1","19409","385","17169","","557","557","557","","","GJW3_07149","GW9_07392",""
"pknB_32","","Serine/threonine-protein kinase PknB","2","2","1","1","2965","385","17164","","2339","2339","2339","","","GJW3_07154","GW9_07399",""
"group_21916","","hypothetical protein","2","2","1","1","24049","385","11262","","911","911","911","","","GJW3_07163","GW9_07085",""
"group_2192","","Cytochrome C oxidase, mono-heme subunit/FixO","2","2","1","1","2010","385","13105","","524","818","671","","","GJW3_06841","GW9_06953",""
"group_21945","","hypothetical protein","2","2","1","1","3174","385","12669","","644","644","644","","","GJW3_07226","GW9_07343",""
"group_21951","","hypothetical protein","2","2","1","1","17310","490","1","","1100","1100","1100","","","GJW3_07247","GW9_07325",""
"group_21954","","hypothetical protein","2","2","1","1","17166","386","39","","521","521","521","","","GJW3_07265","GW9_07309",""
"dnaA_1","","Chromosomal replication initiator protein DnaA","2","2","1","1","11712","385","19117","","959","959","959","","","GJW3_07315","GW9_07257",""
"group_21960","","hypothetical protein","2","2","1","1","9643","385","13239","","872","872","872","","","GJW3_07324","GW9_07248",""
"group_21961","","hypothetical protein","2","2","1","1","9619","385","13238","","1055","1055","1055","","","GJW3_07326","GW9_07245",""
"gfo_4","","Glucose--fructose oxidoreductase","2","2","1","1","19161","461","2","","1328","1328","1328","","","GJW3_07378","GW9_07207",""
"group_21987","","hypothetical protein","2","2","1","1","19160","461","5","","461","461","461","","","GJW3_07379","GW9_07206",""
"group_21992","","hypothetical protein","2","2","1","1","1870","495","2","","251","251","251","","","GJW3_07414","GW9_07169",""
"group_22009","","hypothetical protein","2","2","1","1","10786","385","20665","","599","599","599","","","GJW3_07453","GW9_07126",""
"group_22015","","FG-GAP repeat protein","2","2","1","1","10581","385","5985","","2396","2396","2396","","","GJW3_07484","GW9_07097",""
"group_22016","","hypothetical protein","2","2","1","1","23054","385","3852","","851","851","851","","","GJW3_07498","GW9_07412",""
"group_22017","yxlF_4","putative ABC transporter ATP-binding protein YxlF","2","2","1","1","23055","385","3851","","926","926","926","","","GJW3_07499","GW9_07413",""
"group_22018","","ABC-2 family transporter protein","2","2","1","1","23056","385","3850","","1289","1289","1289","","","GJW3_07500","GW9_07414",""
"yxlF_5","","putative ABC transporter ATP-binding protein YxlF","2","2","1","1","23057","385","3849","","905","905","905","","","GJW3_07501","GW9_07415",""
"group_2202","","hypothetical protein","2","2","1","1","22333","385","11859","","1025","1463","1244","","GW11_05235","","GW9_02211",""
"mntH","","Divalent metal cation transporter MntH","2","2","1","1","23060","385","17597","","1430","1430","1430","","","GJW3_07504","GW9_07417",""
"ybhF_3","","putative ABC transporter ATP-binding protein YbhF","2","2","1","1","27084","385","1866","","920","920","920","","","GJW3_07509","GW9_07423",""
"group_22024","","putative efflux pump membrane fusion protein","2","2","1","1","27085","385","1867","","1148","1148","1148","","","GJW3_07510","GW9_07424",""
"group_22025","","hypothetical protein","2","2","1","1","3658","385","12444","","464","464","464","","","GJW3_07536","GW9_07450",""
"cstA","","Carbon starvation protein A","2","2","1","1","3656","385","12446","","2279","2279","2279","","","GJW3_07538","GW9_07452",""
"group_22032","","hypothetical protein","2","2","1","1","11887","385","14363","","233","233","233","","","GJW3_07575","GW9_07489",""
"group_22033","","hypothetical protein","2","2","1","1","17583","385","12820","","1193","1193","1193","","","GJW3_07580","GW9_07495",""
"fabG_15","","Dihydroanticapsin 7-dehydrogenase","2","2","1","1","10600","385","17628","","791","791","791","","","GJW3_07622","GW9_07617",""
"group_22038","","hypothetical protein","2","2","1","1","9023","385","15048","","545","545","545","","","GJW3_07645","GW9_07591",""
"axeA1_3","","Acetylxylan esterase precursor","2","2","1","1","2616","385","16229","","914","914","914","","","GJW3_07656","GW9_07583",""
"group_22040","","putative protein","2","2","1","1","2557","385","17199","","464","464","464","","","GJW3_07661","GW9_07577",""
"algE7","","Bifunctional hemolysin/adenylate cyclase precursor","2","2","1","1","2559","385","17201","","1157","1157","1157","","","GJW3_07662","GW9_07576",""
"group_22043","","hypothetical protein","2","2","1","1","22815","385","1580","","299","299","299","","","GJW3_07676","GW9_07557",""
"group_22044","","metal-dependent hydrolase","2","2","1","1","21326","385","1577","","872","872","872","","","GJW3_07679","GW9_07553",""
"group_22045","","hypothetical protein","2","2","1","1","21327","385","1576","","320","320","320","","","GJW3_07680","GW9_07552",""
"catD_2","","3-oxoadipate enol-lactonase 2","2","2","1","1","9924","385","14919","","797","797","797","","","GJW3_07727","GW9_07637",""
"group_2207","","hypothetical protein","2","2","1","1","21759","385","11847","","950","1331","1140","","GW11_05246","","GW9_02224",""
"osmC","","Peroxiredoxin OsmC","2","2","1","1","2308","385","21646","","431","431","431","","","GJW3_07745","GW9_07659",""
"group_22074","","WD domain, G-beta repeat","2","2","1","1","11801","385","17117","","1496","1496","1496","","","GJW3_07760","GW9_07674",""
"group_22075","","hypothetical protein","2","2","1","1","11805","385","17121","","488","488","488","","","GJW3_07764","GW9_07678",""
"odhI_2","","FHA domain protein","2","2","1","1","11815","405","14","","722","722","722","","","GJW3_07769","GW9_07683",""
"group_22077","","hypothetical protein","2","2","1","1","22723","385","12862","","830","833","831","","","GJW3_07780","GW9_07695",""
"group_22078","","hypothetical protein","2","2","1","1","17597","385","12871","","551","551","551","","","GJW3_07783","GW9_07698",""
"rsbV","","Anti-sigma-B factor antagonist","2","2","1","1","27385","399","13","","359","359","359","","","GJW3_07800","GW9_07717",""
"group_22083","","hypothetical protein","2","2","1","1","9509","385","6611","","239","239","239","","","GJW3_07832","GW9_07751",""
"murK","","Glucosamine kinase GspK","2","2","1","1","18921","385","15902","","938","938","938","","","GJW3_07845","GW9_07765",""
"group_22088","","hypothetical protein","2","2","1","1","4189","385","14846","","431","431","431","","","GJW3_07871","GW9_07789",""
"dps","","DNA protection during starvation protein","2","2","1","1","11590","385","13247","","512","512","512","","","GJW3_07878","GW9_07796",""
"ihfA","","Integration host factor subunit alpha","2","2","1","1","15774","385","188","","347","347","347","","","GJW3_07895","GW9_07811",""
"group_22095","csrA_3","hypothetical protein","2","2","1","1","15779","385","192","","344","344","344","","","GJW3_07899","GW9_07816",""
"group_22096","","hypothetical protein","2","2","1","1","15781","385","194","","1649","1649","1649","","","GJW3_07901","GW9_07818",""
"group_22098","","tRNA-Arg(cct)","2","2","1","1","2381","385","19247","","71","71","71","","","GJW3_07921","GW9_07863",""
"group_22099","","tRNA-Ser(gga)","2","2","1","1","2380","385","19248","","85","85","85","","","GJW3_07922","GW9_07862",""
"group_22101","","hypothetical protein","2","2","1","1","4698","385","10291","","593","593","593","","","GJW3_07935","GW9_07845",""
"yxlF_6","","putative ABC transporter ATP-binding protein YxlF","2","2","1","1","20585","385","17682","","986","986","986","","","GJW3_07974","GW9_07888",""
"group_2211","yfiT_2","Putative metal-dependent hydrolase YfiT","2","2","1","1","15217","385","16493","","347","470","408","","","GJW3_08252","GW9_01667",""
"group_22115","","putative protein","2","2","1","1","11172","391","18","","467","467","467","","","GJW3_08021","GW9_07930",""
"yfiT_2","","Putative metal-dependent hydrolase YfiT","2","2","1","1","20152","385","19834","","470","470","470","","GW11_05310","","","GUQM_07239"
"cynT","","Carbonic anhydrase 1","2","2","1","1","8132","385","215","","686","686","686","","","GJW3_08043","GW9_08123",""
"ptpA_5","","Prolyl tripeptidyl peptidase precursor","2","2","1","1","17072","385","18691","","518","2174","1346","","","GJW3_05565","GW9_04624",""
"group_2216","","hypothetical protein","2","2","1","1","16361","385","328","","1640","2180","1910","","GW11_05374","","GW9_05531",""
"group_22225","","hypothetical protein","2","2","1","1","2015","385","12014","","605","605","605","","","GJW3_08282","GW9_08257",""
"amnC","","2-aminomuconic 6-semialdehyde dehydrogenase","2","2","1","1","17606","385","15082","","1454","1454","1454","","","GJW3_08290","GW9_08279",""
"acoA_3","","Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha","2","2","1","1","1388","385","13222","","1979","1979","1979","","","GJW3_08315","GW9_08137",""
"group_2224","","GIY-YIG nuclease superfamily protein","2","2","1","1","22468","385","18469","","284","284","284","","","GJW3_00585","GW9_05760",""
"degA","","HTH-type transcriptional regulator DegA","2","2","1","1","15720","385","353","","1148","1148","1148","","","GJW3_08391","GW9_08119",""
"group_22257","","hypothetical protein","2","2","1","1","7238","385","125","","557","557","557","","","GJW3_08395","GW9_07946",""
"group_22258","","Methyltransferase domain protein","2","2","1","1","7237","385","16378","","869","869","869","","","GJW3_08396","GW9_07945",""
"afsK_4","","Serine/threonine-protein kinase AfsK","2","2","1","1","7236","385","16379","","1232","1232","1232","","","GJW3_08397","GW9_07944",""
"group_2226","","hypothetical protein [Gemmata sp. SH-PL17]","2","2","1","1","3167","385","12708","","302","317","309","","GW11_05477","","","GUQM_01806"
"group_22264","","hypothetical protein","2","2","1","1","16535","385","16347","","1376","1376","1376","","","GJW3_08414","GW9_08521",""
"group_2230","adhT_1","Alcohol dehydrogenase","2","2","1","1","18033","385","12358","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","269","995","632","","","GJW3_01487","GW9_00701",""
"group_22306","","hypothetical protein","2","2","1","1","21013","385","4593","","779","779","779","","","GJW3_08522","GW9_08938",""
"group_22307","","hypothetical protein","2","2","1","1","21020","385","4595","","212","212","212","","","GJW3_08524","GW9_08936",""
"group_22315","","hypothetical protein","2","2","1","1","21015","385","4600","","1202","1202","1202","","","GJW3_08536","GW9_08931",""
"pknF_9","","Serine/threonine-protein kinase PknF","2","2","1","1","1503","385","9329","","2021","2021","2021","","","GJW3_08587","GW9_07961",""
"group_22336","","hypothetical protein","2","2","1","1","20697","385","6439","","941","941","941","","","GJW3_08598","GW9_07973",""
"group_22337","","hypothetical protein","2","2","1","1","20696","385","6440","","917","917","917","","","GJW3_08599","GW9_07974",""
"group_22338","","hypothetical protein","2","2","1","1","21527","385","11455","","377","377","377","","","GJW3_08613","GW9_07987",""
"group_22339","","hypothetical protein","2","2","1","1","20079","385","1830","","524","524","524","","","GJW3_08624","GW9_07998",""
"group_22341","","hypothetical protein","2","2","1","1","2326","385","12042","","1046","1046","1046","","","GJW3_08638","GW9_08012",""
"group_22342","","hypothetical protein","2","2","1","1","2325","385","12041","","1877","1877","1877","","","GJW3_08639","GW9_08013",""
"group_22344","","hypothetical protein","2","2","1","1","11226","385","12036","","515","515","515","","","GJW3_08644","GW9_08018",""
"group_22349","","hypothetical protein","2","2","1","1","5702","385","21607","","1070","1070","1070","","","GJW3_08689","GW9_08248",""
"group_22352","","hypothetical protein","2","2","1","1","6598","385","4744","","1229","1229","1229","","","GJW3_08713","GW9_08224",""
"cyaA","","Adenylate cyclase 1","2","2","1","1","6597","385","4743","","1823","1823","1823","","","GJW3_08714","GW9_08223",""
"tagH_2","","Teichoic acids export ATP-binding protein TagH","2","2","1","1","17477","385","12812","","1238","1238","1238","","","GJW3_08769","GW9_08347",""
"araR","","Arabinose metabolism transcriptional repressor","2","2","1","1","22526","385","11474","","1136","1136","1136","","","GJW3_08777","GW9_08355",""
"group_22364","","hypothetical protein","2","2","1","1","22525","385","11471","","455","455","455","","","GJW3_08779","GW9_08357",""
"group_22383","","tRNA-Trp(cca)","2","2","1","1","6404","385","1490","","81","81","81","","","GJW3_08919","GW9_08630",""
"group_22384","","hypothetical protein","2","2","1","1","6405","385","1488","","176","176","176","","","GJW3_08921","GW9_08628",""
"group_22385","","hypothetical protein","2","2","1","1","6402","385","1483","","1418","1418","1418","","","GJW3_08923","GW9_08626",""
"group_22386","","hypothetical protein","2","2","1","1","6401","385","1482","","683","683","683","","","GJW3_08924","GW9_08624",""
"group_22388","","hypothetical protein","2","2","1","1","6399","385","1480","","1505","1505","1505","","","GJW3_08926","GW9_08623",""
"gltT","","Proton/sodium-glutamate symport protein","2","2","1","1","7401","385","1917","","1349","1352","1350","","","GJW3_08935","GW9_08613",""
"group_22394","","hypothetical protein","2","2","1","1","7384","385","12573","","788","788","788","","","GJW3_08943","GW9_08606",""
"group_22405","","hypothetical protein","2","2","1","1","3180","385","12683","","812","812","812","","","GJW3_08984","GW9_08685",""
"glmS_1","","Glutamine--fructose-6-phosphate aminotransferase [isomerizing]","2","2","1","1","13205","385","4145","","1832","1832","1832","","","GJW3_02120","GW9_04536",""
"zraR_15","","two component, sigma-54 specific, transcriptional regulator, Fis family protein [Gemmata obscuriglobus]","2","2","1","1","5703","385","23004","","323","1436","879","","GW11_05892","GJW3_08688","",""
"zraR_4","","Transcriptional regulatory protein ZraR","2","2","1","1","13083","385","21616","","1436","1439","1437","","","","GW9_08126","GUQM_02262"
"group_2246","","hypothetical protein","2","2","1","1","16240","385","22965","","431","1244","837","","","GJW3_01090","GW9_04842",""
"cheY_1","","Sensor kinase CckA","2","2","1","1","3199","385","2453","","503","2984","1743","","","GJW3_01342","GW9_01420",""
"group_22481","","hypothetical protein","2","2","1","1","2855","420","4","","1355","1370","1362","","","GJW3_02033","GW9_00107",""
"group_2253","","NADH dehydrogenase family protein [Gemmata obscuriglobus]","2","2","1","1","14107","385","6002","","632","1319","975","","GW11_06158","","","GUQM_07586"
"group_2255","","NADH dehydrogenase-like protein","2","2","1","1","26576","385","4801","","1319","1319","1319","","","GJW3_05626","GW9_09086",""
"group_2256","","hypothetical protein [Gemmata obscuriglobus]","2","2","1","1","8748","385","6027","","1601","2381","1991","","GW11_06174","","","GUQM_07598"
"group_2258","","hypothetical protein","2","2","1","1","7919","385","5626","","1949","2372","2160","","","GJW3_04913","GW9_05157",""
"group_2261","","hypothetical protein","2","2","1","1","13582","385","18179","","755","1388","1071","","","GJW3_03083","GW9_02087",""
"group_2263","","hypothetical protein","2","2","1","1","20067","385","21090","","1367","1373","1370","","GW11_06266","","","GUQM_07258"
"nhaA","","Na(+)/H(+) antiporter NhaA","2","2","1","1","27429","385","302","","278","1361","819","","","GJW3_02454","GW9_03777",""
"group_2266","nhaA","Na(+)/H(+) antiporter NhaA","2","2","1","1","26647","385","5558","","1346","1358","1352","","GW11_06414","","","GUQM_06971"
"group_2267","pknF_4","hypothetical protein","2","2","1","1","26653","385","5539","","1973","3536","2754","","","GJW3_04013","GW9_01254",""
"group_22682","gltS","Ferredoxin-dependent glutamate synthase 2","2","2","1","1","26921","385","4107","","4721","4772","4746","","","GJW3_01470","GW9_00682",""
"pknF_4","","hypothetical protein [Gemmata sp. SH-PL17]","2","2","1","1","9192","385","21104","","3533","3536","3534","","GW11_06441","","","GUQM_04316"
"group_22697","","hypothetical protein","2","2","1","1","1325","385","5308","","416","416","416","","","","GW9_00746","GUQM_03443"
"group_22698","","hypothetical protein","2","2","1","1","1324","385","5307","","398","398","398","","","","GW9_00747","GUQM_03444"
"group_22703","","hypothetical protein","2","2","1","1","1316","385","5298","","503","503","503","","","","GW9_00758","GUQM_03452"
"group_22704","","hypothetical protein","2","2","1","1","1314","385","5296","","140","140","140","","","","GW9_00760","GUQM_03454"
"group_22705","","hypothetical protein","2","2","1","1","1312","385","5294","","869","869","869","","","","GW9_00762","GUQM_03456"
"group_22706","","hypothetical protein","2","2","1","1","1311","385","5293","","614","614","614","","","","GW9_00763","GUQM_03457"
"group_2271","","hypothetical protein","2","2","1","1","13825","385","22727","","230","653","441","","GW11_06531","","","GUQM_05310"
"czcA_5","","Cobalt-zinc-cadmium resistance protein CzcA","2","2","1","1","5818","385","5852","","2228","3143","2685","","","GJW3_01358","GW9_01435",""
"parA","","Chromosome partitioning protein ParA","2","2","1","1","24960","385","4700","","956","956","956","","","","GW9_00811","GUQM_03496"
"czcA_6","","CusA/CzcA family heavy metal efflux RND transporter [Gemmata sp. SH-PL17]","2","2","1","1","15271","385","22151","","3101","3101","3101","","GW11_06604","","","GUQM_05755"
"group_2284","glnG_2","Nitrogen regulation protein NR(I)","2","2","1","1","17965","385","15220","","122","1433","777","","GW11_06675","","","GUQM_01724"
