IYO_000005,chromosomal replication initiation protein,,it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids (By similarity),PST/PSPTO_0001,(RefSeq) chromosomal replication initiation protein,pst02020 Two-component system;,PA0001,(RefSeq) chromosome replication initiator DnaA,pae02020 Two-component system;,; sequence-specific double-stranded DNA binding; sequence-specific DNA binding ; double-stranded DNA binding ; ATP binding ; adenyl ribonucleotide binding ; adenyl nucleotide binding ; DNA binding ; purine ribonucleoside triphosphate binding; purine ribonucleoside binding ; purine nucleoside binding ; ribonucleoside binding ; nucleoside binding ; purine ribonucleotide binding ; purine nucleotide binding ; ribonucleotide binding ; carbohydrate derivative binding; drug binding ; nucleic acid binding ; nucleotide binding ; nucleoside phosphate binding ; anion binding ; small molecule binding ; ATPase activity ; nucleoside-triphosphatase activity; pyrophosphatase activity ; hydrolase activity,
IYO_000010,DNA polymerase III subunit beta,DNA polymerase III beta subunit (EC 2.7.7.7),DNA polymerase III is a complex multichain enzyme responsible for most of the replicative synthesis in bacteria. This DNA polymerase also exhibits 3' to 5' exonuclease activity. The beta chain is required for initiation of replication once it is clamped onto DNA it slides freely (bidirectional and ATP- independent) along duplex DNA (By similarity),PST/PSPTO_0002,(RefSeq) DNA polymerase III subunit beta,pst03030 DNA replication; pst03430 Mismatch repair; pst03440 Homologous recombination;,PA0002,(RefSeq) DNA polymerase III subunit beta,pae03030 DNA replication; pae03430 Mismatch repair; pae03440 Homologous recombination;,; DNA polymerase activity ; DNA-directed DNA polymerase activity; nucleotidyltransferase activity; transferase activity,
IYO_000015,recombinase RecF,DNA recombination and repair protein RecF,it is required for DNA replication and normal SOS inducibility. RecF binds preferentially to single-stranded linear DNA. It also seems to bind ATP (By similarity),PST/PSPTO_0003,(RefSeq) DNA replication and repair protein RecF,pst03440 Homologous recombination;,PA0003,(RefSeq) DNA replication and repair protein RecF,pae03440 Homologous recombination;,; single-stranded DNA binding ; DNA binding ; nucleic acid binding ; heterocyclic compound binding ; organic cyclic compound binding; binding ; molecular_function ; cytosol ; cytoplasmic part ; cytoplasm ; plasma membrane ; cellular_component ; membrane ; cell part ; cell periphery ; cell ; intracellular part ; intracellular ; response to UV ; DNA synthesis involved in DNA repair; DNA biosynthetic process ; response to light stimulus ; response to radiation ; DNA replication ; DNA repair ; response to abiotic stimulus ; cellular response to DNA damage stimulus; DNA recombination ; cellular response to stress ; DNA metabolic process ; response to stress ; cellular response to stimulus ; cellular macromolecule biosynthetic process; macromolecule biosynthetic process; nucleobase-containing compound biosynthetic process; aromatic compound biosynthetic process; nucleic acid metabolic process; heterocycle biosynthetic process; organic cyclic compound biosynthetic process; response to stimulus ; cellular nitrogen compound biosynthetic process; cellular macromolecule metabolic process; nucleobase-containing compound metabolic process; macromolecule metabolic process; heterocycle metabolic process ; cellular biosynthetic process ; organic substance biosynthetic process; cellular aromatic compound metabolic process; organic cyclic compound metabolic process; biosynthetic process ; nitrogen compound metabolic process; cellular nitrogen compound metabolic process; metabolic process ; cellular metabolic process ; primary metabolic process ; organic substance metabolic process; cellular process ;biological_process ;,
IYO_000020,gyrB,,DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings including catenanes and knotted rings (By similarity),PST/PSPTO_0004,(RefSeq) DNA gyrase subunit B,,PA0004,(RefSeq) DNA gyrase subunit B,,; DNA topoisomerase type II (ATP-hydrolyzing) activity; DNA topoisomerase II activity ; DNA topoisomerase activity ; DNA-dependent ATPase activity ; ATP binding ; adenyl ribonucleotide binding ; adenyl nucleotide binding ; purine ribonucleoside triphosphate binding; purine ribonucleoside binding ; purine nucleoside binding ; ribonucleoside binding ; nucleoside binding ; purine ribonucleotide binding ; isomerase activity ; purine nucleotide binding ; ribonucleotide binding ; carbohydrate derivative binding; drug binding ; nucleotide binding ; nucleoside phosphate binding ; ATPase activity,
IYO_000025,N-6 DNA methylase,Type I restriction-modification system%2C DNA-methyltransferase subunit M (EC 2.1.1.72),N-6 DNA Methylase,PST/PSPTO_1086,(RefSeq) type I restriction-modification system M subunit,,PA2735,(RefSeq) restriction-modification system protein,,; methyltransferase activity ; transferase activity,
IYO_000030,Type I restriction-modification system - specificity subunit S,,restriction modification system DNA specificity domain,PST/PSPTO_1087,(RefSeq) type I restriction-modification system subunit S,,PA2734,(RefSeq) hypothetical protein,,,
IYO_000035,restriction-modification system endonuclease,,Type I site-specific deoxyribonuclease HsdR family,PST/PSPTO_1089,(RefSeq) type I restriction-modification enzyme R subunit,,PA2732,(RefSeq) hypothetical protein,,,
IYO_000040,hypothetical protein,hypothetical protein,,PST/PSPTO_1571,(RefSeq) hypothetical protein,,PA5535,(RefSeq) hypothetical protein,,,
IYO_000045,restriction endonuclease subunit M,Type I restriction enzyme,N-6 DNA Methylase,PST/PSPTO_0005,(RefSeq) type I restriction-modification system M subunit,,PA0002,(RefSeq) DNA polymerase III subunit beta,pae03030 DNA replication; pae03430 Mismatch repair; pae03440 Homologous recombination;,,
IYO_000050,hypothetical protein,,,PST/PSPTO_0027,(RefSeq) hypothetical protein,,PA1591,(RefSeq) hypothetical protein,,,
IYO_000055,transposase,Transposase,Integrase core domain,PST/PSPTO_0028,(RefSeq) transposase,,PA1587,(RefSeq) 2-oxoglutarate dehydrogenase complex dihydrolipoyl dehydrogenase,pae00010 Glycolysis / Gluconeogenesis; pae00020 Citrate cycle (TCA cycle); pae00260 Glycine serine and threonine metabolism; pae00280 Valine leucine and isoleucine degradation; pae00310 Lysine degradation; pae00380 Tryptophan metabolism; pae00620 Pyruvate metabolism; pae00630 Glyoxylate and dicarboxylate metabolism; pae00640 Propanoate metabolism; pae01100 Metabolic pathways; pae01110 Biosynthesis of secondary metabolites; pae01120 Microbial metabolism in diverse environments; pae01130 Biosynthesis of antibiotics; pae01200 Carbon metabolism;,,
