"","kegg.names","labels","all.mapped","type","x","y","width","height","rvs","rvm","mvs","rvs.col","rvm.col","mvs.col"
"65","PSPTO_2282","pst2282","","gene",371,591,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"66","PSPTO_3829","019810","PSPTO_3829","gene",371,527,46,17,-1.69317483470228,-0.10731937252166,-1.58585546218062,"#A4A4DD","#D3D3D3","#BCBCD8"
"67","PSPTO_3814","pst3814","","gene",547,867,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"68","PSPTO_3814","pst3814","","gene",547,781,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"69","PSPTO_0437","027590","PSPTO_0437","gene",547,694,46,17,1.33962423056371,-0.0138047670546311,1.35342899761834,"#D8BCBC","#D3D3D3","#D8BCBC"
"70","PSPTO_0437","027590","PSPTO_0437","gene",501,649,46,17,1.33962423056371,-0.0138047670546311,1.35342899761834,"#D8BCBC","#D3D3D3","#D8BCBC"
"71","PSPTO_3814","pst3814","","gene",572,609,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"72","PSPTO_4496","022780","PSPTO_4496","gene",548,527,46,17,-1.2092046625381,-0.195996575415031,-1.01320808712307,"#BCBCD8","#D3D3D3","#BCBCD8"
"73","PSPTO_4496","022780","PSPTO_4496","gene",500,527,46,17,-1.2092046625381,-0.195996575415031,-1.01320808712307,"#BCBCD8","#D3D3D3","#BCBCD8"
"74","PSPTO_0543","pst0543","","gene",548,419,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"75","PSPTO_0542","pst0542","","gene",547,322,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"79","PSPTO_1182","pst1182","PSPTO_1182","gene",376,143,46,17,3.21451643975277,-0.31674747778759,3.53126391754036,"#E77575","#D3D3D3","#E77575"
"80","PSPTO_1182","pst1182","PSPTO_1182","gene",231,143,46,17,3.21451643975277,-0.31674747778759,3.53126391754036,"#E77575","#D3D3D3","#E77575"
"81","PSPTO_1182","pst1182","PSPTO_1182","gene",156,181,46,17,3.21451643975277,-0.31674747778759,3.53126391754036,"#E77575","#D3D3D3","#E77575"
"82","PSPTO_0437","027590","PSPTO_0437","gene",501,736,46,17,1.33962423056371,-0.0138047670546311,1.35342899761834,"#D8BCBC","#D3D3D3","#D8BCBC"
"83","PSPTO_3814","pst3814","","gene",522,609,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"85","PSPTO_1010","pst1010","PSPTO_1010","gene",548,189,46,17,2.68306148909249,-1.00813771219579,3.69119920128828,"#E28D8D","#BCBCD8","#E77575"
"86","PSPTO_3430","pst3430","","gene",1126,167,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"93","PSPTO_2516","pst2516","","gene",188,309,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"94","PSPTO_1249","006100","PSPTO_1249","gene",188,447,46,17,2.11787995758122,-1.04742575286118,3.1653057104424,"#DDA4A4","#BCBCD8","#E28D8D"
"96","PSPTO_3430","pst3430","","gene",604,80,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"102","PSPTO_3969","pst3969","","gene",700,80,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"103","PSPTO_3968","pst3968","","gene",794,80,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"104","PSPTO_2112","pst2112","","gene",888,80,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"117","PSPTO_1247","006090","PSPTO_1247","gene",188,379,46,17,1.79251015036148,-1.34887370580324,3.14138385616472,"#DDA4A4","#BCBCD8","#E28D8D"
"118","PSPTO_2352","pst2352","","gene",188,516,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"122","PSPTO_2353","pst2353","","gene",188,583,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"126","PSPTO_2351","pst2351","","gene",190,672,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"127","PSPTO_2658","pst2658","","gene",128,672,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"130","PSPTO_1181","005790","PSPTO_1181","gene",604,155,46,17,3.65638467038584,-0.422657215149465,4.0790418855353,"#E77575","#D3D3D3","#EB5E5E"
"136","PSPTO_1821","009365","PSPTO_1821","gene",1126,474,46,17,0.946201033589688,-5.18650587366772,6.1327069072574,"#D8BCBC","#4646F0","#F52F2F"
"148","PSPTO_0542","pst0542","","gene",604,279,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"161","PSPTO_1822","009370","PSPTO_1822","gene",1210,391,46,17,2.05918587734584,-6.48411052835127,8.54329640569711,"#DDA4A4","#1717FA","#FF0000"
"168","PSPTO_1183","005800","PSPTO_1183","gene",716,220,46,17,2.67157762618282,-0.624698418875967,3.29627604505879,"#E28D8D","#D3D3D3","#E77575"
"171","PSPTO_0542","pst0542","","gene",604,220,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"180","PSPTO_1182","pst1182","PSPTO_1182","gene",157,252,46,17,3.21451643975277,-0.31674747778759,3.53126391754036,"#E77575","#D3D3D3","#E77575"
"181","PSPTO_0692","pst0692","","gene",231,213,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"189","PSPTO_0437","027590","PSPTO_0437","gene",1017,351,46,17,1.33962423056371,-0.0138047670546311,1.35342899761834,"#D8BCBC","#D3D3D3","#D8BCBC"
