rfamAcc	rfamId	minExpressionRank	maxF84	numSpecies
RF00001	5S_rRNA	1	0.61	2429
RF00002	5_8S_rRNA	2	0.51	732
RF00005	tRNA	1	0.61	2491
RF00010	RNaseP_bact_a	2	0.50	1848
RF00011	RNaseP_bact_b	1	0.45	493
RF00013	6S	11	0.50	1586
RF00014	DsrA	649	0.06	124
RF00018	CsrB	20	0.17	257
RF00021	Spot_42	512	0.42	242
RF00022	GcvB	85	0.18	244
RF00023	tmRNA	1	0.51	2077
RF00028	Intron_gpI	631	0.45	198
RF00029	Intron_gpII	350	0.48	631
RF00033	MicF	305	0.46	748
RF00034	RprA	695	0.09	190
RF00035	OxyS	614	0.05	110
RF00038	PrfA	741	0.01	30
RF00039	DicF	817	0.41	139
RF00040	rne5	145	0.16	202
RF00050	FMN	50	0.45	1359
RF00057	RyhB	807	0.15	216
RF00059	TPP	43	0.48	2059
RF00062	HgcC	206	0.44	169
RF00077	SraB	299	0.06	136
RF00078	MicA	205	0.44	420
RF00079	OmrA-B	757	0.07	183
RF00080	yybP-ykoY	301	0.45	1246
RF00081	ArcZ	422	0.31	192
RF00082	SraG	610	0.38	208
RF00083	GlmZ_SraJ	64	0.09	185
RF00084	CsrC	42	0.07	154
RF00101	SraC_RyeA	274	0.21	189
RF00106	RNAI	806	0.33	67
RF00110	RybB	562	0.09	190
RF00111	RyeB	254	0.17	64
RF00112	CyaR_RyeE	618	0.40	193
RF00113	QUAD	421	0.05	109
RF00114	S15	28	0.44	589
RF00115	IS061	715	0.30	81
RF00116	C0465	805	0.02	65
RF00117	C0719	553	0.02	56
RF00118	rydB	677	0.42	178
RF00119	C0299	771	0.02	68
RF00121	MicC	818	0.05	114
RF00122	GadY	609	0.02	69
RF00124	IS102	505	0.29	48
RF00125	IS128	5090	0.01	25
RF00126	ryfA	142	0.06	107
RF00127	t44	18	0.46	567
RF00128	GlmY_tke1	51	0.09	190
RF00140	Alpha_RBS	11	0.44	932
RF00162	SAM	91	0.50	611
RF00166	PrrB_RsmZ	38	0.40	79
RF00167	Purine	98	0.45	531
RF00168	Lysine	119	0.46	708
RF00169	Bacteria_small_SRP	12	0.55	1815
RF00174	Cobalamin	9	0.50	1487
RF00177	SSU_rRNA_bacteria	1	0.61	2422
RF00195	RsmY	28	0.07	42
RF00230	T-box	54	0.44	779
RF00234	glmS	127	0.44	419
RF00368	sroB	709	0.09	170
RF00369	sroC	251	0.07	153
RF00370	sroD	530	0.05	126
RF00371	sroE	386	0.05	127
RF00372	sroH	404	0.01	38
RF00379	ydaO-yuaA	168	0.38	449
RF00380	ykoK	71	0.43	443
RF00382	DnaX	308	0.29	175
RF00391	RtT	206	0.23	190
RF00442	ykkC-yxkD	407	0.41	313
RF00444	PrrF	47	0.17	55
RF00503	RNAIII	2601	0.03	45
RF00504	Glycine	93	0.48	1065
RF00505	RydC	475	0.05	107
RF00506	Thr_leader	548	0.45	587
RF00512	Leu_leader	748	0.42	454
RF00513	Trp_leader	794	0.35	259
RF00514	His_leader	413	0.42	314
RF00515	PyrR	222	0.46	980
RF00516	ylbH	2165	0.35	172
RF00517	serC	659	0.23	123
RF00521	SAM_alpha	290	0.37	167
RF00522	PreQ1	236	0.41	348
RF00534	SgrS	489	0.13	170
RF00552	rncO	596	0.10	191
RF00555	L13_leader	40	0.22	390
RF00556	L19_leader	104	0.44	765
RF00557	L10_leader	22	0.46	738
RF00558	L20_leader	112	0.46	745
RF00559	L21_leader	23	0.43	620
RF00615	LhrA	178	0.01	31
RF00616	LhrC	68	0.01	31
RF00623	P1	1346	0.07	33
RF00624	P9	1374	0.25	75
RF00625	P11	6517	0.07	29
RF00627	P15	2659	0.40	50
RF00628	P16	115	0.13	45
RF00629	P24	2671	0.07	33
RF00630	P26	124	0.22	293
RF00634	SAM-IV	2018	0.32	155
RF01051	c-di-GMP-I	61	0.44	389
RF01055	MOCO_RNA_motif	187	0.46	382
RF01056	Mg_sensor	310	0.47	221
RF01057	SAH_riboswitch	130	0.41	318
RF01066	6C	20	0.42	326
RF01067	ATPC	218	0.33	42
RF01068	mini-ykkC	552	0.45	469
RF01069	purD	4	0.37	97
RF01070	sucA	189	0.31	101
RF01116	Yfr1	64	0.36	129
RF01118	PK-G12rRNA	1	0.61	2425
RF01317	CRISPR-DR4	513	0.35	195
RF01325	CRISPR-DR12	1620	0.15	9
RF01327	CRISPR-DR14	580	0.03	18
RF01335	CRISPR-DR22	315	0.16	64
RF01340	CRISPR-DR29	237	0.45	610
RF01343	CRISPR-DR33	51	0.48	506
RF01344	CRISPR-DR34	1472	0.24	16
RF01361	CRISPR-DR48	263	0.52	243
RF01372	CRISPR-DR59	213	0.47	1023
RF01384	InvR	976	0.03	30
RF01385	isrA	2874	0.45	244
RF01388	isrD	3006	0.02	29
RF01390	isrG	5190	0.02	25
RF01391	isrH	2656	0.02	29
RF01392	isrI	729	0.04	32
RF01394	isrK	521	0.43	748
RF01395	isrL	3459	0.04	36
RF01396	isrN	1820	0.29	100
RF01397	isrO	4136	0.05	43
RF01398	isrP	2353	0.02	28
