pfamAcc	pfamId	minExpressionRank	maxF84	numSpecies
PF00004	AAA	13	0.57	2433
PF00005	ABC_tran	89	0.61	2495
PF00006	ATP-synt_ab	39	0.61	2401
PF00009	GTP_EFTU	6	0.61	2433
PF00011	HSP20	16	0.48	1651
PF00012	HSP70	15	0.61	2380
PF00013	KH_1	69	0.50	2273
PF00015	MCPsignal	112	0.50	1339
PF00016	RuBisCO_large	25	0.43	382
PF00021	UPAR_LY6	2	0.33	17
PF00023	Ank	276	0.48	597
PF00027	cNMP_binding	120	0.50	2063
PF00032	Cytochrom_B_C	33	0.46	910
PF00033	Cytochrom_B_N	149	0.49	1109
PF00034	Cytochrom_C	34	0.50	1323
PF00035	dsrm	158	0.51	2264
PF00037	Fer4	5	0.50	1849
PF00041	fn3	394	0.50	812
PF00042	Globin	545	0.45	846
PF00043	GST_C	384	0.36	998
PF00044	Gp_dh_N	20	0.57	2290
PF00056	Ldh_1_N	30	0.57	1989
PF00067	p450	320	0.46	777
PF00069	Pkinase	47	0.50	1703
PF00070	Pyr_redox	73	0.50	1266
PF00071	Ras	1984	0.47	79
PF00072	Response_reg	22	0.50	2381
PF00075	RNase_H	375	0.50	1727
PF00076	RRM_1	60	0.48	459
PF00078	RVT_1	458	0.48	933
PF00080	Sod_Cu	288	0.47	858
PF00081	Sod_Fe_N	36	0.51	1912
PF00082	Peptidase_S8	150	0.50	1465
PF00083	Sugar_tr	102	0.50	1764
PF00085	Thioredoxin	37	0.61	2381
PF00089	Trypsin	1572	0.46	711
PF00091	Tubulin	80	0.49	2221
PF00092	VWA	230	0.46	519
PF00098	zf-CCHC	4269	0.28	19
PF00101	RuBisCO_small	40	0.37	158
PF00102	Y_phosphatase	151	0.36	70
PF00106	adh_short	47	0.50	2359
PF00107	ADH_zinc_N	8	0.50	2103
PF00108	Thiolase_N	52	0.50	1684
PF00109	ketoacyl-synt	55	0.50	2245
PF00111	Fer2	53	0.50	1761
PF00112	Peptidase_C1	242	0.47	226
PF00113	Enolase_C	33	0.57	2251
PF00114	Pilin	56	0.29	326
PF00115	COX1	33	0.61	1702
PF00116	COX2	52	0.50	1508
PF00117	GATase	294	0.61	2373
PF00118	Cpn60_TCP1	17	0.61	2321
PF00119	ATP-synt_A	142	0.61	2175
PF00120	Gln-synt_C	170	0.50	2163
PF00121	TIM	153	0.57	2273
PF00122	E1-E2_ATPase	319	0.50	2265
PF00124	Photo_RC	13	0.40	112
PF00126	HTH_1	103	0.50	2108
PF00127	Copper-bind	18	0.46	444
PF00128	Alpha-amylase	97	0.50	1873
PF00132	Hexapep	14	0.50	2350
PF00133	tRNA-synt_1	121	0.61	2377
PF00135	COesterase	1985	0.44	548
PF00136	DNA_pol_B	2302	0.43	377
PF00137	ATP-synt_C	64	0.61	2315
PF00140	Sigma70_r1_2	63	0.50	2318
PF00141	peroxidase	85	0.44	758
PF00142	Fer4_NifH	240	0.46	382
PF00144	Beta-lactamase	86	0.50	1688
PF00145	DNA_methylase	129	0.56	1162
PF00146	NADHdh	325	0.50	1419
PF00148	Oxidored_nitro	89	0.46	320
PF00149	Metallophos	209	0.50	2257
PF00150	Cellulase	716	0.50	615
PF00152	tRNA-synt_2	317	0.61	2358
PF00154	RecA	74	0.61	2279
PF00155	Aminotran_1_2	29	0.58	2388
PF00156	Pribosyltran	157	0.58	2345
PF00158	Sigma54_activat	264	0.50	1777
PF00160	Pro_isomerase	78	0.50	1957
PF00162	PGK	79	0.57	2261
PF00163	Ribosomal_S4	27	0.60	2316
PF00164	Ribosom_S12_S23	33	0.61	2316
PF00165	HTH_AraC	69	0.50	844
PF00166	Cpn10	2	0.61	2313
PF00171	Aldedh	24	0.61	2291
PF00173	Cyt-b5	220	0.41	135
PF00174	Oxidored_molyb	543	0.47	1024
PF00175	NAD_binding_1	28	0.50	2058
PF00176	SNF2_N	190	0.50	1675
PF00177	Ribosomal_S7	24	0.61	2314
PF00180	Iso_dh	53	0.61	2056
PF00181	Ribosomal_L2	26	0.61	2321
PF00182	Glyco_hydro_19	443	0.42	274
PF00183	HSP90	86	0.50	1359
PF00185	OTCace	358	0.61	2201
PF00186	DHFR_1	287	0.50	1737
PF00188	CAP	572	0.50	922
PF00189	Ribosomal_S3_C	33	0.61	2323
PF00190	Cupin_1	272	0.41	237
PF00194	Carb_anhydrase	995	0.43	346
PF00195	Chal_sti_synt_N	2439	0.45	301
PF00196	GerE	65	0.50	2004
PF00198	2-oxoacid_dh	69	0.50	1997
PF00199	Catalase	156	0.46	1235
PF00201	UDPGT	818	0.50	500
PF00202	Aminotran_3	161	0.50	2144
PF00203	Ribosomal_S19	32	0.61	2315
PF00204	DNA_gyraseB	138	0.57	2352
